Year,Sex,Age,Area,Value,Flags
"2013","Female","30-34 years","Parkside",69,
"2013","Male","20-24 years","Seaview",114,
"2013","Male","75-79 years","Timaru Gardens",24,
"2013","Female","10-14 years","Highfield",168,
"2013","Male","45-49 years","Redruth",,c
"2013","Male","5-9 years","Orari",174,
"2013","Female","40-44 years","Fraser Park",111,
"2013","Female","45-49 years","Orari",189,
"2013","Female","30-34 years","Winchester",,c
"2013","Female","10-14 years","Parkside",87,
"2013","Female","15-19 years","Redruth",,c
"2013","Female","60-64 years","Gleniti",87,
"2013","Female","95-99 years","Maori Park",0,
"2013","Female","30-34 years","Washdyke",21,
"2013","Female","90-94 years","Geraldine",21,
"2013","Female","10-14 years","Waimataitai",27,
"2013","Male","25-29 years","Pleasant Point",27,
"2013","Female","85-89 years","Maori Park",18,
"2013","Female","50-54 years","Ben Mcleod",,c
"2013","Female","75-79 years","Washdyke",18,
"2013","Female","40-44 years","Parkside",105,
"2013","Female","15-19 years","Levels",114,
"2013","Female","75-79 years","Highfield",81,
"2013","Male","55-59 years","Ben Mcleod",,c
"2013","Female","55-59 years","Levels",183,
"2013","Female","70-74 years","Timaru Gardens",36,
"2013","Male","80-84 years","Levels",24,
"2013","Male","60-64 years","Inlet-Port Timaru",,c
"2013","Female","65-69 years","Orari",138,
"2013","Male","35-39 years","Fraser Park",81,
"2013","Female","75-79 years","Inlet-Port Timaru",,c
"2013","Male","10-14 years","Levels",120,
"2013","Male","55-59 years","Levels",192,
"2013","Female","45-49 years","Timaru Gardens",57,
"2013","Female","40-44 years","Highfield",123,
"2013","Male","10-14 years","Ben Mcleod",,c
"2013","Female","20-24 years","Maori Park",45,
"2013","Male","10-14 years","Geraldine",60,
"2013","Male","90-94 years","Geraldine",9,
"2013","Female","5-9 years","Washdyke",21,
"2013","Female","95-99 years","Redruth",,c
"2013","Male","35-39 years","Parkside",69,
"2013","Female","90-94 years","Redruth",,c
"2013","Male","100 years and over","Highfield",3,
"2013","Male","55-59 years","Pareora",18,
"2013","Male","60-64 years","Parkside",66,
"2013","Female","90-94 years","Temuka",18,
"2013","Female","85-89 years","Fairview-Scarborough",3,
"2013","Male","30-34 years","Highfield",72,
"2013","Male","100 years and over","Waimataitai",0,
"2013","Female","30-34 years","Waimataitai",45,
"2013","Male","95-99 years","Seaview",0,
"2013","Male","80-84 years","Pareora",9,
"2013","Female","100 years and over","Waimataitai",0,
"2013","Male","35-39 years","Washdyke",24,
"2013","Male","70-74 years","Orari",99,
